date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:21	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221db980f8c19ab6f%22	https://in.integracommerce.com.br/fonts/glyphicons-halflings-regular.eot?	apiin/in.integracommerce.com.br/fonts/glyphicons-halflings-regulard41d.eot	(from https://in.integracommerce.com.br/content/bootstrap.css)
16:00:23	23320/23320	---M--	200	added ('OK')	application/font-woff	etag:%221db980f8c19bf18%22	https://in.integracommerce.com.br/fonts/glyphicons-halflings-regular.woff	apiin/in.integracommerce.com.br/fonts/glyphicons-halflings-regular.woff	(from https://in.integracommerce.com.br/content/bootstrap.css)
16:00:24	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	etag:%221db980f8c194540%22	https://in.integracommerce.com.br/fonts/glyphicons-halflings-regular.ttf	apiin/in.integracommerce.com.br/fonts/glyphicons-halflings-regular.ttf	(from https://in.integracommerce.com.br/content/bootstrap.css)
16:00:25	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%221db980f8c1911ce%22	https://in.integracommerce.com.br/fonts/glyphicons-halflings-regular.svg	apiin/in.integracommerce.com.br/fonts/glyphicons-halflings-regular.svg	(from https://in.integracommerce.com.br/content/bootstrap.css)
16:00:25	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:25%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Home)
16:00:26	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:26%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/About/Api)
16:00:27	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:27%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Documentation/Authentication)
16:00:28	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:28%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Documentation/Resources)
16:00:30	69641/69641	---M--	200	added ('OK')	image/png	etag:%221db980f8c18f409%22	https://in.integracommerce.com.br/content/images/fluxoNormalOrder.png	apiin/in.integracommerce.com.br/content/images/fluxoNormalOrder.png	(from https://in.integracommerce.com.br/Documentation/Resources)
16:00:30	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:30%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Documentation/Patterns)
16:00:31	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:31%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Documentation/Orders)
16:00:33	143410/143410	---M--	200	added ('OK')	text/css	etag:%221d73daecb952932%22	https://in.integracommerce.com.br/swagger/swagger-ui.css	apiin/in.integracommerce.com.br/swagger/swagger-ui.css	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:33	628/628	---M--	200	added ('OK')	image/png	etag:%221d73daecb971b74%22	https://in.integracommerce.com.br/swagger/favicon-32x32.png	apiin/in.integracommerce.com.br/swagger/favicon-32x32.png	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:34	665/665	---M--	200	added ('OK')	image/png	etag:%221d73daecb971b99%22	https://in.integracommerce.com.br/swagger/favicon-16x16.png	apiin/in.integracommerce.com.br/swagger/favicon-16x16.png	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:36	1097461/1097461	---M--	200	added ('OK')	application/javascript	etag:%221d73daecb87a7f5%22	https://in.integracommerce.com.br/swagger/swagger-ui-bundle.js	apiin/in.integracommerce.com.br/swagger/swagger-ui-bundle.js	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:37	336841/336841	---M--	200	added ('OK')	application/javascript	etag:%221d73daecb923ac9%22	https://in.integracommerce.com.br/swagger/swagger-ui-standalone-preset.js	apiin/in.integracommerce.com.br/swagger/swagger-ui-standalone-preset.js	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:37	2595/2595	---M--	200	added ('OK')	text/html	etag:%221d73daecb971323%22	https://in.integracommerce.com.br/swagger/oauth2-redirect.html	apiin/in.integracommerce.com.br/swagger/oauth2-redirect.html	(from https://in.integracommerce.com.br/swagger/index.html)
16:00:38	0/0	---M--	404	error ('Not%20Found')	application/json	date:Sat,%2026%20Apr%202025%2019:00:38%20GMT	https://in.integracommerce.com.br/content/grabbing.png	apiin/in.integracommerce.com.br/content/grabbing.png	(from https://in.integracommerce.com.br/content/owl.carousel.css)
16:00:39	0/0	---M--	404	error ('Not%20Found')	application/json	date:Sat,%2026%20Apr%202025%2019:00:39%20GMT	https://in.integracommerce.com.br/content/AjaxLoader.gif	apiin/in.integracommerce.com.br/content/AjaxLoader.gif	(from https://in.integracommerce.com.br/content/owl.theme.css)
16:00:40	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Apr%202025%2019:00:40%20GMT	https://in.integracommerce.com.br/Download	apiin/in.integracommerce.com.br/Download	(from https://in.integracommerce.com.br/Documentation/Resources/)
